sequence_id,length,variant,backend_mode,backend_name,run_id,run_seed,num_variables,num_quadratic_terms,num_qubits,circuit_depth,best_optimized_objective,optimizer_evaluations,optimization_runtime_seconds,sampling_runtime_seconds,optimization_shots,sampling_shots,qaoa_reps,retained_samples,optimal_parameters_json,job_id,parameter_source,donor_sequence_id,donor_length,donor_num_variables
synth_000066,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.22165759399990748,0.006302119000110906,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000066,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.18875175300013325,0.005269167999813362,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000066,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1711500789999718,0.005646488000138561,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000088,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.16668422999987342,0.00559408899994196,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000088,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19178863299998739,0.005506489000026704,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000088,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.29283172200007357,0.011228706999872884,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000100,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.23154043100021227,0.017407104999847434,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000100,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.5263931230001617,0.007514907000086168,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000100,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.2575319430000036,0.018635383999935584,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000055,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,3,3,3,7,-2.0,25.0,0.38447156500001256,0.012112506999983452,1024.0,2048,1,8,"[4.157652635076188, 1.1155594727655187]",,,,,
synth_000055,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,3,3,3,7,-2.0,25.0,0.44086496799991437,0.016986335999945368,1024.0,2048,1,8,"[6.600547520706949, -0.36664486189470885]",,,,,
